git config --global --unset-allMon, 09 May 2022 12:26:47 GMT: successfully added agent id 0x80ed808b586aeebe9cdd4088ea4dea0a8e322909c0e4493c993e060e89c09ed1 with manifest QmUaYio6SJxb9NsXcFJfLWhZnJftoZ36J7du68uvratYvc
Thu, 01 Dec 2022 04:29:44 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmUUXkFDMBzFz8JnWeUPJM3XdGSgm997zqWwRUiusRgB5P
Thu, 01 Dec 2022 22:10:16 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmeDhMDYVtf1PUEDHLFfWW5ryKArrRjfW244rYDzYHYsGS
Thu, 01 Dec 2022 22:19:18 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmQwdR6E48KVpZdwUWaiwytF7fY94hMtw7f2T7kDigZRkR
Thu, 01 Dec 2022 22:25:39 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest Qmad5Si6abnwhPzmzkuchksZXmcLbwdLqKJNKcDApjJopQ
Thu, 01 Dec 2022 22:56:46 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmXr9oCTACZMKXnFnfjHwRpZTUt44mDEHnTUPYebgwPorW
Thu, 01 Dec 2022 23:41:48 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmQmshDrM6SLSJ794hcm5c97iWFfgd8y4WkQMHM4Up2SLz
Fri, 02 Dec 2022 00:23:08 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest Qmbst8uDJugUFekRSTLGGxUxoFVFADVhSts3zajweBC14C
Sat, 03 Dec 2022 00:40:25 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmTKGn6pVBj9CqgsgrApy9GKtojb1uMx6pqQCXW2A642tT
Sat, 03 Dec 2022 06:13:13 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmZFGGpNxMadUhVeWrFRsBKqr2fW9LSsiU8DHtyge6vqTn
Thu, 08 Dec 2022 23:46:08 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmceNVLpGyPiRp1LwBVyYr5nsDHj4wc2QjJ1ukSWScymGm
Fri, 16 Dec 2022 16:43:31 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmeobbMzBp6dXBA2YEQnNagLG5sJP8ke4PFgkQD31pxnUP
Sat, 31 Dec 2022 04:28:40 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmPWrBVQU75pgLR6ZC3pez63fB4DvHeAvU1rEmoa1v3yVn
Sat, 31 Dec 2022 17:08:36 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmVtNcYefUzFKvMGAVFZRMGPeyox5Run6nFxpeyRivgynH
Tue, 03 Jan 2023 22:15:58 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest Qmcgbx3gGpv1Bc4XBEATdWCPY2MT1FeSKATxLF19yCZJYT
Fri, 06 Jan 2023 00:22:34 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmV1Awr61m2wyHKuAtpr2VQgwhdSy4HLyVxz9JmRpSvs9i
Wed, 11 Jan 2023 00:20:19 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmdCPvvx33ZXAcYwSLfbZCqBDpbkF4inhcAP9L2Zn9kRuS
Wed, 11 Jan 2023 17:30:23 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmTV8oWBjEPBo2K4kvzYaY3vhrPH37syBHMQFwm8LqecqN
Wed, 11 Jan 2023 17:45:50 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmS1THoN8H1dMpeSKF6EKf3zEDnovX98ggGUUbC3nw8KbT
Wed, 11 Jan 2023 21:57:03 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmbeD6RkykJdL3aAX1YKRtjtgujR1z4FR5RfMEU4WLAVrZ
Mon, 23 Jan 2023 18:21:35 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmVee62cWpD985fDoWun6oaupmpNW6aenxnxfnkVvEAk7z
Wed, 25 Jan 2023 16:29:00 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmZgCDHpEQSLcwuWEiCDRzocTrXd4drQptWQnn3QVbRkH4
Wed, 25 Jan 2023 16:55:14 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmQodsncgPDRsKsCS7D8QPry4zmeS5x9BWrreuXQtaUFJ6
Tue, 31 Jan 2023 00:40:43 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest Qme4SqZTwLK7e4LbMSz76SDi55sYji2basv22LYXV3jGZn
Tue, 31 Jan 2023 15:52:37 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmR6NzXLXetfeC6nviW9Zy6G95NHFk5nK6yYG4v3KZzqQH
Tue, 31 Jan 2023 16:42:15 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmbPqdFq7WkpbfoZ4bqLjuoSeeJ7KKvbJsofKkQPoGGn5o
Fri, 03 Feb 2023 22:47:13 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmNX7FAPJW1pLnrAKmHKafxn6wPexuAoPBFxXTBExAfsrs
Sat, 04 Feb 2023 00:20:18 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmccVaQFQNwp99PzKR1SFDh511bhBH3bJxT6jqfqrjcLyg
Tue, 07 Feb 2023 01:47:48 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmeKgH3AvH5ubv6jQPvJMCmWNP76ZJeo8dF2qpXyUARRfo
Tue, 07 Feb 2023 15:59:00 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmSrDhkwpFQ3YWi2VsmV95ktTBcP9EoEfUfsYpVPHqkoea
Tue, 07 Feb 2023 22:15:17 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmeZeZGkXdxYQzxmStznnf8zJRj6MsHyCcH1H4F37BxJVs
Fri, 10 Feb 2023 00:18:54 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmYPKZX9TPzcyuqGnEEoaXxWZjaSx1yRQEyf8x7nyemQn3
Fri, 10 Feb 2023 00:23:23 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmWCQLHx3mrTJrSAZgLe6Sjn1B6Pmi597fNzyktcWDF2FZ
Tue, 14 Feb 2023 16:33:06 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest Qma6BHnbMAJ9HLFTo33Ky5JhK9XXqZXrKLUNx9oGkU4rEp
Tue, 14 Feb 2023 16:44:31 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmTgEosfnE33JZWuUeSjJpGBg453Fso7o2ADCrGLZz8Tnp
Thu, 16 Feb 2023 16:48:26 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmR8mVYo693Rg7TmAH3FzFckHtaH44quSY6NTX6VRFLRrm
Thu, 16 Feb 2023 20:09:41 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmasXQtCeFF6QegrDhJirQKTbxD7b6nAboow6Zo5XuJFKV
Wed, 22 Feb 2023 18:14:08 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmUhNNso8EsDf512WHyoa3pd68xXCi1KmGPXjZLBEMbUvq
Fri, 03 Mar 2023 21:17:02 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmVMXNURg4JtmFRwVFpFDHu6Kr8LDXsoSxh1kv86mNm9id
Fri, 10 Mar 2023 19:26:24 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmRBkgrYhPx3vUiC7YMptcqwJDbtY3EQynMKKtHiYtasfP
Mon, 13 Mar 2023 17:40:15 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest Qmc6MxJ9bZmT4t9LqBYMxdzGBUrVbY9SBzkyxrzN9hwqua
Mon, 13 Mar 2023 18:00:20 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmNjEsR2afW2pLrVSRGmCdYZFqSM3FCsZtwJZUg61RGB2n
Tue, 14 Mar 2023 15:40:37 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmQSUEdwBVGj95bHkFQiygHpTyasnfVbn7Ynhms1mPdAHj
Tue, 14 Mar 2023 22:21:22 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmPHLiiKjNed4ZK6wNtp6zLyA8vYdf7v6ughPSLULYu81e
Wed, 15 Mar 2023 23:39:48 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmcWAZsEd1RhttdTsAwxk4vfeWPu7KgmfSVVNnatrcAWGE
Thu, 16 Mar 2023 21:08:15 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmcybF8vjF1Xt4kbzDzTYjfHVqF38F5EykBJkjeSrqgs8H
Mon, 20 Mar 2023 21:53:45 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmWF6ppzw7xWhcaTtwxoE8DWwgS5fG67afDSkm67fSmTfQ
Tue, 21 Mar 2023 17:50:41 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmUcuNF16LnBGkWs6kcqwdqUaC8QParJuwRgAWo4qZXXfP
Tue, 21 Mar 2023 18:21:52 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmQHQGZnWLX3wQ7H8E8yMKFG4wi4ccqksUEHedtsEZnax8
Wed, 22 Mar 2023 18:25:24 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmRmkpUCVxnnvUHqx8e7h6tzVvYh4Q89pCEQkKxL7E1o3i
Fri, 24 Mar 2023 15:31:56 GMT: successfully updated agent id 0x80ed808b586aeebe9cdd4088ea4dea0a8e322909c0e4493c993e060e89c09ed1 with manifest QmURmTN4beShwAsgzZAKSeQhF6iatBrTWktjaTrStrBMeQ
Fri, 24 Mar 2023 15:40:24 GMT: successfully updated agent id 0x80ed808b586aeebe9cdd4088ea4dea0a8e322909c0e4493c993e060e89c09ed1 with manifest QmRPMCHLrNS2gkWpqXJZRAwXbzjBE1YyZF3Wcos23yn2VR
Thu, 30 Mar 2023 00:31:56 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmUTy97jWchc4uanjS7aZ2ZPQb7J3sLY67q9UQtyZG8fjm
Thu, 30 Mar 2023 00:38:35 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmTN9F2JfZNW7i9Ebj8LKLShJTVb3FwF4e99EbZRJx1Bnj
Thu, 30 Mar 2023 00:42:04 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmYQrNhzoWsmykbiKtRcThLbxQNUFx6DunCxNUyPUr2Y3r
Thu, 30 Mar 2023 00:44:29 GMT: successfully updated agent id 0x80ed808b586aeebe9cdd4088ea4dea0a8e322909c0e4493c993e060e89c09ed1 with manifest QmRpohRd7Z5yCWjXpUgjSyPjWLKSBUQTisqHgHrG38rLdz
Fri, 31 Mar 2023 20:57:07 GMT: successfully updated agent id 0xac82fb2a572c7c0d41dc19d24790db17148d1e00505596ebe421daf91c837799 with manifest QmRfuA3XzYToa1vCudewRcJG9Rq2LopZtXTSqn6Di8jmYB
